length_char,length_word,num_uppercase,uppercase_ratio,num_exclamation,num_question,num_special_chars,num_digits,num_links,repeat_word_ratio,duplicate_char_ratio,contains_promo_words,contains_brand,contains_call_action,rating,time_comment,is_night,num_repeated_phrases
167,38,4,0.023952095808383235,0,0,6,1,0,0.13157894736842105,0.0,0,0,0,5,11.07,0,0
95,24,2,0.021052631578947368,0,0,1,0,0,0.041666666666666664,0.0,0,0,0,5,19.06,0,0
89,19,1,0.011235955056179775,0,0,3,1,0,0.0,0.0,0,0,0,5,23.32,1,0
63,13,2,0.031746031746031744,0,0,3,0,0,0.0,0.0,0,0,0,5,10.41,0,0
36,10,1,0.027777777777777776,0,0,0,1,0,0.0,0.0,0,0,0,5,9.03,0,0
91,21,2,0.02197802197802198,0,0,3,1,0,0.09523809523809523,0.0,0,0,0,5,7.43,0,0
80,15,4,0.05,0,0,5,0,0,0.0,0.0,0,0,0,5,1.0,1,0
76,16,0,0.0,0,0,3,0,0,0.0,0.0,0,0,0,5,21.3,0,0
62,13,1,0.016129032258064516,0,0,1,0,0,0.0,0.0,0,0,0,5,6.27,0,0
49,11,4,0.08163265306122448,0,0,3,0,0,0.0,0.0,0,0,0,5,12.07,0,0
69,16,1,0.014492753623188406,0,0,3,1,0,0.0625,0.0,0,0,0,5,7.49,0,0
186,43,1,0.005376344086021506,0,0,2,1,0,0.13953488372093023,0.0,0,0,0,4,17.19,0,0
73,17,2,0.0273972602739726,0,0,2,0,0,0.17647058823529413,0.0,0,0,0,5,16.22,0,0
154,33,1,0.006493506493506494,0,0,8,1,0,0.21212121212121213,0.0,0,0,0,5,17.28,0,0
114,26,2,0.017543859649122806,1,0,3,0,0,0.11538461538461539,0.0,0,0,0,5,16.23,0,0
65,15,0,0.0,0,0,0,1,0,0.2,0.0,0,0,0,5,15.41,0,1
68,15,1,0.014705882352941176,0,0,2,0,0,0.0,0.0,0,0,0,5,13.3,0,0
2,1,1,0.5,0,0,0,0,0,0.0,0.0,0,0,0,5,10.23,0,0
27,7,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,5,21.21,0,0
92,17,11,0.11956521739130435,1,0,3,15,0,0.0,0.08695652173913043,1,0,1,5,18.57,0,0
133,24,16,0.12030075187969924,4,0,8,7,1,0.16666666666666666,0.05263157894736842,1,0,0,5,14.28,0,1
70,14,16,0.22857142857142856,0,0,4,7,0,0.0,0.0,1,0,0,5,21.15,0,0
30,7,1,0.03333333333333333,0,0,0,0,0,0.0,0.0,0,0,0,5,10.26,0,0
76,19,1,0.013157894736842105,0,0,0,0,0,0.15789473684210525,0.0,0,0,0,5,18.52,0,0
103,25,2,0.019417475728155338,0,0,2,1,0,0.0,0.0,0,0,0,5,16.01,0,0
2,1,1,0.5,0,0,0,0,0,0.0,0.0,0,0,0,5,21.45,0,0
40,9,1,0.025,0,0,3,0,0,0.0,0.0,0,0,0,5,19.36,0,0
88,16,10,0.11363636363636363,0,0,8,15,0,0.0,0.06818181818181818,1,0,1,5,14.0,0,0
91,18,1,0.01098901098901099,0,0,4,10,1,0.05555555555555555,0.03296703296703297,0,0,1,5,16.18,0,0
84,19,19,0.2261904761904762,0,0,5,2,1,0.05263157894736842,0.0,1,0,1,5,12.39,0,0
79,15,5,0.06329113924050633,1,0,3,10,0,0.0,0.0,0,0,1,5,8.41,0,0
88,17,1,0.011363636363636364,0,0,8,0,1,0.23529411764705882,0.0,1,0,1,5,1.38,1,3
118,23,24,0.2033898305084746,4,0,9,0,1,0.08695652173913043,0.03389830508474576,1,0,0,5,23.3,1,1
80,16,2,0.025,1,0,3,12,0,0.0,0.1,0,0,1,5,16.16,0,0
74,16,10,0.13513513513513514,0,0,2,0,0,0.0625,0.0,1,0,1,5,10.55,0,0
81,16,1,0.012345679012345678,0,0,2,10,0,0.0,0.0,0,0,1,5,13.4,0,0
83,16,1,0.012048192771084338,0,0,5,0,1,0.5,0.03614457831325301,1,0,1,5,22.59,0,6
77,15,3,0.03896103896103896,1,0,3,12,0,0.06666666666666667,0.0,0,0,1,5,21.12,0,0
87,17,0,0.0,3,0,5,10,0,0.0,0.034482758620689655,0,0,1,5,18.04,0,0
99,19,27,0.2727272727272727,0,0,5,5,1,0.0,0.0,1,0,1,5,14.05,0,0
53,11,35,0.660377358490566,3,0,5,2,0,0.0,0.05660377358490566,1,0,1,5,23.11,1,0
76,16,1,0.013157894736842105,0,0,3,12,0,0.0,0.0,0,0,1,5,1.41,1,0
79,17,21,0.26582278481012656,0,0,3,0,1,0.058823529411764705,0.0379746835443038,1,0,1,5,7.14,0,0
85,17,0,0.0,3,0,5,10,0,0.0,0.03529411764705882,0,0,1,5,10.32,0,0
90,16,1,0.011111111111111112,0,0,7,0,1,0.5,0.0,1,0,1,5,11.09,0,6
71,13,46,0.647887323943662,3,0,5,7,0,0.0,0.04225352112676056,1,0,1,5,23.51,1,0
81,16,0,0.0,0,0,2,10,0,0.0,0.0,0,0,1,5,9.15,0,0
76,16,1,0.013157894736842105,0,0,3,12,0,0.0,0.0,0,0,1,5,11.21,0,0
83,16,22,0.26506024096385544,0,0,4,12,0,0.0625,0.0,1,0,0,5,17.1,0,0
79,16,1,0.012658227848101266,0,0,2,10,0,0.0,0.0,0,0,1,5,13.59,0,0
90,19,1,0.011111111111111112,3,0,8,0,1,0.0,0.06666666666666667,1,0,0,5,10.11,0,0
80,14,4,0.05,0,0,8,10,0,0.0,0.075,0,0,1,5,10.39,0,0
90,17,23,0.25555555555555554,0,0,9,0,0,0.11764705882352941,0.06666666666666667,1,0,0,5,15.42,0,0
61,12,9,0.14754098360655737,0,0,7,3,1,0.0,0.0,1,0,0,5,12.26,0,0
94,20,9,0.09574468085106383,0,0,5,5,1,0.15,0.031914893617021274,1,0,0,5,6.35,0,1
75,16,2,0.02666666666666667,1,0,3,12,0,0.0,0.0,0,0,1,5,10.54,0,0
89,18,1,0.011235955056179775,0,0,6,0,1,0.2222222222222222,0.033707865168539325,1,0,1,5,10.59,0,3
94,18,1,0.010638297872340425,0,0,8,0,1,0.2222222222222222,0.0,1,0,1,5,19.36,0,3
82,16,0,0.0,3,0,5,10,0,0.0,0.13414634146341464,0,0,1,5,11.08,0,0
63,12,11,0.1746031746031746,0,0,7,3,1,0.0,0.0,1,0,0,5,12.36,0,0
94,18,1,0.010638297872340425,0,0,8,0,1,0.2222222222222222,0.0,1,0,1,5,18.09,0,3
84,17,14,0.16666666666666666,0,0,6,2,1,0.058823529411764705,0.0,1,0,1,5,20.46,0,0
61,14,15,0.2459016393442623,0,0,5,3,0,0.0,0.0,1,0,0,5,15.46,0,0
86,16,1,0.011627906976744186,0,0,7,0,1,0.5,0.0,1,0,1,5,11.39,0,6
73,14,15,0.2054794520547945,0,0,7,3,1,0.0,0.0,1,0,0,5,14.38,0,0
83,16,1,0.012048192771084338,0,0,5,0,1,0.5,0.03614457831325301,1,0,1,5,19.51,0,6
53,11,35,0.660377358490566,3,0,5,2,0,0.0,0.05660377358490566,1,0,1,5,13.47,0,0
76,14,4,0.05263157894736842,0,0,8,10,0,0.07142857142857142,0.07894736842105263,0,0,1,5,13.1,0,0
78,15,35,0.44871794871794873,7,0,9,2,0,0.2,0.08974358974358974,1,0,1,5,15.35,0,1
74,14,16,0.21621621621621623,0,0,4,6,1,0.0,0.04054054054054054,1,0,0,5,16.25,0,0
93,18,1,0.010752688172043012,0,0,4,10,1,0.05555555555555555,0.11827956989247312,1,0,1,5,13.37,0,0
86,17,0,0.0,3,0,5,10,0,0.0,0.12790697674418605,1,0,1,5,1.44,1,0
117,24,8,0.06837606837606838,1,0,3,15,0,0.0,0.06837606837606838,1,0,1,5,20.12,0,0
76,14,4,0.05263157894736842,0,0,8,10,0,0.0,0.18421052631578946,0,0,1,5,22.29,0,0
70,14,16,0.22857142857142856,0,0,4,7,0,0.0,0.0,1,0,0,5,15.16,0,0
492,108,11,0.022357723577235773,0,0,13,0,0,0.16666666666666666,0.0,0,0,0,5,11.51,0,0
90,21,1,0.011111111111111112,0,0,2,0,0,0.047619047619047616,0.0,0,0,0,5,17.45,0,0
110,26,4,0.03636363636363636,0,0,3,0,0,0.11538461538461539,0.0,0,0,0,5,11.31,0,0
66,16,1,0.015151515151515152,0,0,3,1,0,0.0,0.0,0,0,0,5,22.14,0,0
69,16,2,0.028985507246376812,0,0,5,0,0,0.0,0.0,0,0,0,5,20.09,0,0
77,18,2,0.025974025974025976,0,0,2,0,0,0.1111111111111111,0.0,0,0,0,5,22.2,0,0
72,15,1,0.013888888888888888,0,0,3,0,0,0.0,0.0,0,0,0,5,18.32,0,0
64,15,4,0.0625,0,0,3,0,0,0.0,0.0,0,0,0,5,20.43,0,0
76,17,4,0.05263157894736842,0,0,5,0,0,0.0,0.0,0,0,0,5,14.37,0,0
52,12,1,0.019230769230769232,0,0,1,0,0,0.0,0.0,0,0,0,5,10.17,0,0
64,13,2,0.03125,0,0,4,0,0,0.0,0.046875,0,0,0,5,17.46,0,0
51,12,1,0.0196078431372549,0,0,2,0,0,0.0,0.0,0,0,0,5,21.21,0,0
110,27,2,0.01818181818181818,0,0,3,0,0,0.07407407407407407,0.0,0,0,0,5,19.48,0,0
84,21,3,0.03571428571428571,0,0,5,0,0,0.09523809523809523,0.0,0,0,0,5,19.4,0,0
90,22,2,0.022222222222222223,0,0,1,1,0,0.09090909090909091,0.0,0,0,0,5,17.44,0,0
476,104,16,0.03361344537815126,2,0,16,4,0,0.25,0.0,1,0,0,5,10.05,0,0
61,14,1,0.01639344262295082,0,0,3,0,0,0.0,0.0,0,0,0,5,17.29,0,0
62,16,0,0.0,0,0,0,0,0,0.0625,0.0,0,0,0,5,21.37,0,0
64,15,0,0.0,0,0,0,0,0,0.06666666666666667,0.0,0,0,0,5,10.28,0,0
59,15,1,0.01694915254237288,0,0,0,0,0,0.06666666666666667,0.0,0,0,0,5,16.18,0,0
76,14,4,0.05263157894736842,0,0,8,10,0,0.07142857142857142,0.07894736842105263,0,0,1,5,15.18,0,0
28,7,1,0.03571428571428571,0,0,1,0,0,0.0,0.0,0,0,0,5,8.45,0,0
369,77,24,0.06504065040650407,0,0,31,2,0,0.18181818181818182,0.0,0,0,1,4,23.48,1,0
81,19,1,0.012345679012345678,0,0,0,0,0,0.05263157894736842,0.0,0,0,0,5,9.0,0,0
53,12,0,0.0,0,0,2,0,0,0.0,0.0,0,0,0,5,18.47,0,0
76,14,4,0.05263157894736842,0,0,8,10,0,0.07142857142857142,0.18421052631578946,0,0,1,5,11.19,0,0
98,18,1,0.01020408163265306,0,0,6,10,1,0.05555555555555555,0.08163265306122448,1,0,1,5,13.48,0,0
3,1,1,0.3333333333333333,0,0,0,0,0,0.0,0.0,0,0,0,5,19.46,0,0
174,44,1,0.005747126436781609,0,0,2,0,0,0.09090909090909091,0.0,0,0,0,5,14.43,0,0
95,19,14,0.14736842105263157,3,0,8,7,1,0.05263157894736842,0.031578947368421054,1,0,0,5,13.0,0,0
53,11,35,0.660377358490566,3,0,5,2,0,0.0,0.05660377358490566,1,0,1,5,14.57,0,0
86,18,25,0.29069767441860467,0,0,2,1,0,0.05555555555555555,0.0,0,0,0,5,0.17,1,0
78,16,18,0.23076923076923078,0,0,5,1,1,0.0,0.0,1,0,0,4,13.25,0,0
83,20,11,0.13253012048192772,0,0,5,18,0,0.1,0.0963855421686747,0,0,0,5,14.15,0,0
108,25,8,0.07407407407407407,0,0,3,2,0,0.12,0.0,1,0,1,5,19.25,0,0
76,14,16,0.21052631578947367,0,0,4,6,1,0.07142857142857142,0.039473684210526314,1,0,0,5,17.39,0,0
89,19,22,0.24719101123595505,0,0,5,2,1,0.0,0.0,1,0,0,5,16.48,0,0
49,12,2,0.04081632653061224,0,0,0,0,0,0.08333333333333333,0.0,0,0,0,1,11.01,0,0
93,18,1,0.010752688172043012,0,0,4,10,1,0.05555555555555555,0.11827956989247312,1,0,1,1,10.56,0,0
99,19,6,0.06060606060606061,3,0,5,15,0,0.0,0.030303030303030304,1,0,1,4,11.4,0,0
7,2,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,5,16.35,0,0
13,4,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,5,12.23,0,0
2,1,1,0.5,0,0,0,0,0,0.0,0.0,0,0,0,5,13.17,0,0
81,18,2,0.024691358024691357,0,0,2,0,0,0.0,0.0,0,0,0,5,13.05,0,0
107,27,4,0.037383177570093455,0,0,3,0,0,0.07407407407407407,0.0,0,0,0,3,18.28,0,0
37,10,3,0.08108108108108109,0,0,2,0,0,0.0,0.0,0,0,0,5,17.23,0,0
31,7,1,0.03225806451612903,0,0,0,0,0,0.0,0.0,0,0,0,5,19.23,0,0
134,32,1,0.007462686567164179,0,0,0,1,0,0.09375,0.0,0,0,0,1,17.47,0,0
86,18,1,0.011627906976744186,0,0,3,0,0,0.05555555555555555,0.0,0,0,0,5,23.47,1,0
7,2,1,0.14285714285714285,0,0,0,0,0,0.0,0.0,0,0,0,5,17.41,0,0
20,4,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,15.46,0,0
3,1,1,0.3333333333333333,0,0,0,0,0,0.0,0.0,0,0,0,5,12.58,0,0
94,18,1,0.010638297872340425,0,0,6,10,1,0.05555555555555555,0.0851063829787234,1,0,1,5,6.56,0,0
108,25,14,0.12962962962962962,0,0,2,0,0,0.08,0.0,1,0,1,5,19.23,0,0
79,16,0,0.0,0,0,2,10,0,0.0,0.10126582278481013,0,0,1,5,23.01,1,0
79,16,0,0.0,0,0,2,10,0,0.0,0.10126582278481013,0,0,1,5,16.28,0,0
88,18,24,0.2727272727272727,0,0,3,2,1,0.0,0.03409090909090909,1,0,0,4,16.5,0,0
85,16,0,0.0,3,0,5,10,0,0.0,0.12941176470588237,1,0,1,5,12.32,0,0
63,12,7,0.1111111111111111,0,0,7,3,1,0.0,0.0,1,0,0,5,4.48,1,0
94,18,1,0.010638297872340425,0,0,6,10,1,0.05555555555555555,0.0851063829787234,1,0,1,4,18.25,0,0
123,25,7,0.056910569105691054,7,0,12,5,0,0.12,0.056910569105691054,1,0,0,4,11.47,0,1
54,11,36,0.6666666666666666,3,0,5,2,0,0.0,0.05555555555555555,1,0,1,5,19.5,0,0
70,14,2,0.02857142857142857,1,0,3,11,0,0.0,0.11428571428571428,0,0,1,5,14.23,0,0
88,16,22,0.25,0,0,4,12,1,0.0625,0.06818181818181818,1,0,0,5,9.4,0,0
86,18,0,0.0,0,0,2,10,0,0.0,0.09302325581395349,0,0,1,5,11.51,0,0
82,16,14,0.17073170731707318,0,0,6,2,1,0.0625,0.0,1,0,1,5,6.23,0,0
55,11,37,0.6727272727272727,3,0,5,2,0,0.09090909090909091,0.05454545454545454,1,0,1,5,18.38,0,0
75,14,4,0.05333333333333334,0,0,8,10,0,0.0,0.18666666666666668,0,0,1,5,16.46,0,0
71,17,6,0.08450704225352113,0,0,2,0,0,0.11764705882352941,0.0,1,0,1,5,16.15,0,0
81,17,17,0.20987654320987653,0,0,2,0,0,0.058823529411764705,0.0,1,0,1,5,15.04,0,0
90,18,1,0.011111111111111112,0,0,6,0,1,0.2777777777777778,0.03333333333333333,1,0,1,5,9.47,0,3
83,16,24,0.2891566265060241,0,0,3,0,1,0.0,0.03614457831325301,1,0,1,5,13.21,0,0
90,19,15,0.16666666666666666,0,0,5,2,1,0.05263157894736842,0.0,1,0,0,5,15.4,0,0
101,19,2,0.019801980198019802,5,0,7,10,0,0.10526315789473684,0.039603960396039604,0,0,1,5,17.48,0,1
88,19,26,0.29545454545454547,0,0,5,0,1,0.0,0.0,1,0,1,5,18.14,0,0
62,13,9,0.14516129032258066,0,0,6,5,1,0.15384615384615385,0.04838709677419355,1,0,0,5,9.09,0,0
90,18,11,0.12222222222222222,1,0,3,15,0,0.0,0.0,1,0,1,5,19.09,0,0
108,20,1,0.009259259259259259,4,0,9,0,1,0.5,0.06481481481481481,1,0,1,5,11.5,0,7
76,16,1,0.013157894736842105,0,0,3,12,0,0.0,0.0,0,0,1,5,14.03,0,0
86,17,0,0.0,3,0,5,10,0,0.0,0.03488372093023256,1,0,1,5,0.55,1,0
65,12,9,0.13846153846153847,0,0,7,3,1,0.0,0.0,1,0,0,5,16.03,0,0
98,21,7,0.07142857142857142,3,0,8,5,0,0.047619047619047616,0.030612244897959183,1,0,0,5,20.57,0,0
83,16,1,0.012048192771084338,0,0,5,0,1,0.5,0.03614457831325301,1,0,1,5,18.24,0,6
76,16,1,0.013157894736842105,0,0,3,12,0,0.0,0.10526315789473684,0,0,1,5,8.33,0,0
93,18,6,0.06451612903225806,0,0,2,15,0,0.0,0.0,1,0,1,5,17.03,0,0
94,18,1,0.010638297872340425,0,0,6,10,1,0.05555555555555555,0.0,1,0,1,5,11.08,0,0
73,14,15,0.2054794520547945,0,0,5,8,1,0.07142857142857142,0.0410958904109589,1,0,0,5,15.42,0,0
85,17,1,0.011764705882352941,0,0,6,0,1,0.23529411764705882,0.03529411764705882,1,0,1,5,17.05,0,3
78,16,0,0.0,0,0,2,10,0,0.0,0.0,0,0,1,5,12.39,0,0
85,16,1,0.011764705882352941,0,0,5,0,1,0.5,0.03529411764705882,1,0,1,5,15.14,0,6
86,18,1,0.011627906976744186,0,0,4,10,0,0.05555555555555555,0.0,1,0,1,5,13.48,0,0
85,17,0,0.0,3,0,5,10,0,0.0,0.03529411764705882,0,0,1,5,12.52,0,0
96,21,8,0.08333333333333333,4,0,7,2,0,0.14285714285714285,0.041666666666666664,1,0,1,5,20.17,0,1
108,20,16,0.14814814814814814,0,0,6,7,1,0.0,0.0,1,0,0,5,19.12,0,0
