userId,comment_time,rating_star,has_media,comment_text,productID,helpful_votes
lengoc1960,2025-07-16 11:07 | Phân loại hàng: Xám,5,1,"Đóng gói và bao bì rất tốt, nhận hàng đúng đơn, đầy đủ và nguyên vẹn. Sản phẩm chính hãng gọn đẹp nhé. Công tắc cảm biến nhạy và đủ 3 chế độ sáng. Giao hàng rất nhanh.",928285061.277184,3
phanquoc524,2025-10-05 19:06 | Phân loại hàng: Trắng,5,1,Cám ơn shop đã hỗ trợ nhiệt tình và nhanh gọn. Rất thích cách xử lý và hy vọng ủng hộ lần tới ạ,928285061.277184,1
j*****u,2025-11-15 23:32 | Phân loại hàng: Xám,5,1,"Đèn rất thời trang, sang choảng, sáng tốt với 3 mức nhiệt độ màu, shop tue vấn nhiêt tình",928285061.277184,0
zyx.cba,2025-12-14 10:41 | Phân loại hàng: Xám,5,1,"Đèn thiết kế đẹp, chất lượng hoàn thiện cao. Màu sắc trang nhã.",928285061.277184,0
t*****t,2025-05-23 09:03 | Phân loại hàng: Xám,5,1,Đèn có 3 màu sáng quá ok luôn á trừi,928285061.277184,1
hiep.vh.thb,2025-09-01 07:43 | Phân loại hàng: Xám,5,0,"Mẫu đèn này dùng ok, ổn định, mua lần thứ 2 rồi

Sẽ mua tiếp của shop, shop giao siêu nhanh",928285061.277184,0
l*****n,2025-07-02 01:00 | Phân loại hàng: Xám,5,1,Giao hàng nhanh… Sản phẩm rất chất lượng .. Shiper nhiệt tình. I love  so much 🫶,928285061.277184,0
n*****m,2025-08-01 21:30 | Phân loại hàng: Trắng,5,1,"giao nhanh, đóng gói cẩn thận, hàng đẹp chắc chắn.
sáng đủ vừa phải tiện lợi",928285061.277184,0
tranhang_149,2025-05-17 06:27 | Phân loại hàng: Xám,5,0,"Bề ngoài khá đẹp, đèn điều chỉnh được nhiều mức sáng khác nhau",928285061.277184,0
hunghoangbm,2025-09-25 12:07 | Phân loại hàng: Xám,5,0,Đẹp. Ánh sáng vừa đủ. Khá tiện. Giá thành cũng ổn,928285061.277184,0
n*****l,2025-12-08 07:49 | Phân loại hàng: Xám,5,0,"Gọn nhẹ. 3 ánh sáng, tăng giảm độ sáng, quá chuẩn cho học và làm việc",928285061.277184,0
acekhom23.3,2024-12-02 17:19 | Phân loại hàng: Xám,4,0,"Hoàn thiện tạm không cao lắm cái kính đèn có phần lỏng lẻo hay kêu xột xoạt, cái nút out dướt thân lỏng le, sản phẩm có chỗ lỗi về chi tiết mà tôi không quan tâm tiểu tiết lắm nên cho 4s",928285061.277184,1
trangbon2011,2026-01-04 16:22 | Phân loại hàng: Trắng,5,1,"Đèn sáng, để đèn vàng thành đèn ngủ buổi tối êm dịu khá dễ ngủ. Thks shop",928285061.277184,0
mmmzzz000,2025-11-14 17:28 | Phân loại hàng: Xám,5,1,"Đặt màu xám nhưng shop giao màu trắng, cũng không ảnh hưởng lắm tới việc sử dụng, đèn tốt, có 3 màu sáng(trắng, trắng vàng và vàng), có cảm biến ánh sáng.",928285061.277184,0
phadu07,2025-12-16 16:23 | Phân loại hàng: Trắng,5,0,"Sản phẩm rất chất lượng, đã mua vài lần mẫu này cho gia đình và người thân. Rất chắc chắn và xịn sò nha mọi người!",928285061.277184,0
t*****8,2025-05-01 15:41 | Phân loại hàng: Trắng,5,0,đèn đẹp dùng ok rất thích sáng đủ 3 màu màu trắng vàng trắng vàng,928285061.277184,0
i9t7t_sj2w,2025-07-27 13:30 | Phân loại hàng: Trắng,5,0,"Chất lượng sản phẩm như mô tả, đóng gói cẩn thận, giao hàng đúng hẹn",928285061.277184,0
ptkn001,2024-12-13 10:23 | Phân loại hàng: Trắng,5,0,Ok,928285061.277184,0
jinchuuriki9,2025-05-28 21:21 | Phân loại hàng: Trắng,5,0,sản phẩm tốt đúng như mô tả,928285061.277184,0
s*****n,2025-12-05 18:57 | Phân loại hàng: Trắng,5,1,"Ai cần giày sneaker giá rẻ thì click ngay, Zalo 0933333333, ship COD toàn quốc! MÃ DEAL43902",928285061.277184,0
rafahanh,2025-09-28 14:28 | Phân loại hàng: Trắng,5,0,"TẶNG VOUCHER 115K cho khách mới, vào www.example.com/voucher nhập mã SPAM1056 !!!! nhanh tay nhanh tay ốp lưng giày sneaker sạc nhanh",928285061.277184,0
