userId,comment_time,rating_star,has_media,comment_text,productID,helpful_votes
n*****3,2022-07-27 10:57,5,1,"Mình và mẹ rất thích sài loại này, giao hàng nhanh dù mình săn sale được giá tốt",716459829.16042134136,6
uyennguyen_1201,2025-04-09 09:53,5,1,"Làm sạch tốt và ko bị khô da. Hàng mall nên yên tâm sử dụng, có đầy đủ tem nhãn phụ tiếng Việt. Đóng gói cẩn thận và giao hàng nhanh.",716459829.16042134136,1
meomeodientan,2024-02-22 15:09,5,1,"Mình dùng nhiều rồi, do phù hợp với da mình nên hết mình cứ mua, lần này mình được tặng hẳn 40ml và vài mẫu dùng thử, cảm ơn shop.",716459829.16042134136,0
n*****3,2022-07-27 10:59,5,1,Sản phẩm tốt mình đã mua 2 lần gần nhau vì 2 mẹ con mình sử dụng và do săn đc giá sale,716459829.16042134136,8
hannah.huyen.nguyen,2023-11-18 07:18,5,1,"tuýp sữa rửa mặt to dã man, sẽ dùng thử hy vọng có kết quả tốt, gói hàng cẩn thận quà tặng đầy đủ, giao hàng nhanh chóng",716459829.16042134136,2
duongiam,2023-01-12 11:10,5,1,"Mua sữa rửa mặt mấy lần của shop rồi, rửa sạch, chưa thấy da sáng lên, nhưng sản phẩm rất đáng tiền, với thích những quà tặng thực tế là những sản phẩm nhỉ được tặng kèm tiện dụng khi đi xa, vote 5 sao nhé",716459829.16042134136,1
xuantinhminhchi,2024-09-04 19:25,5,1,"Mua hàng của shop 1 vài lần rồi, hàng chính hãng nên khá yên tâm. Lần đầu tiên mua sữa rửa mặt trắng da không biết có hợp không nữa. 
Shop giao hàng nhanh, mua có mã giảm giá khá hời",716459829.16042134136,0
duyen271097,2025-03-06 13:13,5,0,"Sp chính hãng nên cũng yên tâm. Đã dùng của hãng lâu giờ rồi. Mua sp của hãng được tặng nhiều phiên bản mini tiện đi du lịch,…",716459829.16042134136,1
t*****p,2025-04-11 14:51,5,1,Thấy dùng cũng oke. Rửa sạch k bị khô da. Mùi nhẹ dễ chịu. Mua ngày 10 thành viên đc hoàn 5% xu tính ra còn 685k cũng đc. Đc 2 quà tặng,716459829.16042134136,0
hannah.huyen.nguyen,2024-11-16 11:00,5,1,"Hình ảnh mang tính chất nhận xu thôi ạ, sp của shop chất lượng, ship hàng nhanh đóng gói cẩn thận, chắc chắn sẽ quay lại ủng hộ shop cho các đơn hàng tiếp theo nhé",716459829.16042134136,0
t*****o,2022-07-08 17:16,5,1,Chat luong san pham tôt- đong goi san pham ok - giao hang nhanh,716459829.16042134136,2
banhkeotrungngan,2024-11-15 19:02,5,1,"Sản phẩm đúng hãng thì dùng tốt , mình mua ngày sale nên được thêm đồ. Cơ mà sao thấy shop lên giá nhiều thế nhỉ?",716459829.16042134136,0
p*****9,2025-05-25 18:13 | Phân loại hàng: New - 180ml,5,0,Srm high end nên giá cũng ko rẻ. Nhưng mà dùng xịn thật nha. Cảm giác sạch mặt mà cũng ko quá khô da. Nchung là oke đáng trải nghiệm,716459829.16042134136,0
teetran2810,2025-10-19 18:20 | Phân loại hàng: New - 180ml,4,1,"Ok, dùng thích. Rửa mặt sạch thoáng , ko khô căng.",716459829.16042134136,0
duongiam,2022-12-01 11:18,5,0,"Làm biếng vào lấy chai sữa rửa mặt đã mua để chụp ảnh, nhưng vẫn viết cho shop, sản phẩm tốt, rửa mặt sạch, nên mua nha mấy bạn",716459829.16042134136,0
nickcux,2024-01-23 21:53,5,1,"Sử dụng làm sạch da tốt, rất tốt, bọt lên khá nhiều làm srm lên mặt rất êm luôn",716459829.16042134136,0
nhu20112005,2024-09-20 12:27,5,1,,716459829.16042134136,0
thuycucflower,2025-09-08 23:29 | Phân loại hàng: New - 180ml,5,1,"Lần đầu dùng loại này của Whoo thấy thơm, bọt nhiều, ko khô da
Giao hàng nhanh
Đóng gói kỹ",716459829.16042134136,0
minhmaximum,2023-06-07 17:39,5,0,"Chưa quen với việc mua hàng sale tại shopee nên có chút trục trặc, không ngờ Whoo giải quyết vấn đề nhanh và đứng về phía khách hàng tốt như vậy. Rất wow nha.",716459829.16042134136,0
h*****0,2025-01-19 08:12,5,0,,716459829.16042134136,0
n*****4,2024-07-12 19:25,5,0,"Sản phẩm tốt, rửa mặt rất êm, sẽ mua lại lần sau",716459829.16042134136,0
